run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20221206-11:21:06-5150,runattr,,,configname,General,,
General-0-20221206-11:21:06-5150,runattr,,,datetime,20221206-11:21:06,,
General-0-20221206-11:21:06-5150,runattr,,,datetimef,20221206-112106,,
General-0-20221206-11:21:06-5150,runattr,,,experiment,General,,
General-0-20221206-11:21:06-5150,runattr,,,inifile,omnetpp.ini,,
General-0-20221206-11:21:06-5150,runattr,,,iterationvars,,,
General-0-20221206-11:21:06-5150,runattr,,,iterationvarsd,,,
General-0-20221206-11:21:06-5150,runattr,,,iterationvarsf,,,
General-0-20221206-11:21:06-5150,runattr,,,measurement,,,
General-0-20221206-11:21:06-5150,runattr,,,network,AerocomSys,,
General-0-20221206-11:21:06-5150,runattr,,,processid,5150,,
General-0-20221206-11:21:06-5150,runattr,,,repetition,0,,
General-0-20221206-11:21:06-5150,runattr,,,replication,#0,,
General-0-20221206-11:21:06-5150,runattr,,,resultdir,results,,
General-0-20221206-11:21:06-5150,runattr,,,runnumber,0,,
General-0-20221206-11:21:06-5150,runattr,,,seedset,0,,
General-0-20221206-11:21:06-5150,config,,,network,AerocomSys,,
General-0-20221206-11:21:06-5150,config,,,num-rngs,3,,
General-0-20221206-11:21:06-5150,config,,,rng-class,omnetpp::cMersenneTwister,,
General-0-20221206-11:21:06-5150,config,,,**.PacketGenerator.rng-0,0,,
General-0-20221206-11:21:06-5150,config,,,**.LinkSelector.rng-1,1,,
General-0-20221206-11:21:06-5150,config,,,**.DataLink[*].rng-0,0,,
General-0-20221206-11:21:06-5150,config,,,**.ControlTower.responseTime.result-recording-modes,+histogram,,
General-0-20221206-11:21:06-5150,vector,AerocomSys.controlTower,responseTimeStatistic:vector,,,"5 5.708290593466","2.255932488479 0"
General-0-20221206-11:21:06-5150,attr,AerocomSys.controlTower,responseTimeStatistic:vector,recordingmode,vector,,
General-0-20221206-11:21:06-5150,attr,AerocomSys.controlTower,responseTimeStatistic:vector,source,responseTime,,
General-0-20221206-11:21:06-5150,attr,AerocomSys.controlTower,responseTimeStatistic:vector,title,response time statistic,,
